index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
553;907.165,00;2;22;1
554;918.571,00;3;22;1
555;926.730,00;8;22;1
556;956.967,00;4;22;1
557;918.402,00;9;22;1
558;394.398,00;5;20;1
559;405.932,00;6;20;1
560;426.087,00;0;20;1
561;470.530,00;1;20;1
562;478.095,00;2;20;1
563;498.851,00;3;20;1
564;512.937,00;8;20;1
565;552.298,00;4;20;1
566;507.272,00;9;20;1
567;1.141.921,00;5;18;1
568;1.134.457,00;6;18;1
569;1.131.820,00;0;18;1
570;1.137.123,00;1;18;1
571;1.133.207,00;2;18;1
572;1.142.453,00;3;18;1
573;1.126.997,00;8;18;1
574;1.144.954,00;4;18;1
575;1.127.850,00;9;18;1
576;2.891,00;5;34;1
577;2.959,00;6;34;1
578;3.033,00;0;34;1
579;3.147,00;1;34;1
580;3.083,00;2;34;1
581;3.025,00;3;34;1
582;2.942,00;8;34;1
583;2.976,00;4;34;1
584;2.988,00;9;34;1
585;794.641,00;5;19;1
586;815.212,00;6;19;1
587;865.215,00;0;19;1
588;899.561,00;1;19;1
589;896.675,00;2;19;1
590;931.687,00;3;19;1
591;1.017.824,00;8;19;1
592;1.074.964,00;4;19;1
593;979.866,00;9;19;1
594;247.189,00;5;16;1
595;245.276,00;6;16;1
596;245.937,00;0;16;1
597;243.296,00;1;16;1
598;231.814,00;2;16;1
599;231.036,00;3;16;1
600;238.940,00;8;16;1
601;250.024,00;4;16;1
602;238.309,00;9;16;1
603;360.004,00;5;15;1
604;367.835,00;6;15;1
605;379.844,00;0;15;1
606;400.899,00;1;15;1
607;372.214,00;2;15;1
608;373.411,00;3;15;1
609;388.084,00;8;15;1
610;415.300,00;4;15;1
611;387.778,00;9;15;1
612;456.885,00;5;12;1
613;453.316,00;6;12;1
614;446.299,00;0;12;1
615;436.330,00;1;12;1
616;405.236,00;2;12;1
617;393.770,00;3;12;1
618;384.050,00;8;12;1
619;402.698,00;4;12;1
620;390.148,00;9;12;1
621;292.424,00;5;11;1
622;297.152,00;6;11;1
623;296.183,00;0;11;1
624;297.116,00;1;11;1
