index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
686;5,00;1;29;6;0
687;4,00;2;29;6;0
688;66,00;0;30;6;0
689;51,00;1;30;6;0
690;58,00;2;30;6;0
691;7,00;0;31;6;0
692;0,00;1;31;6;0
693;0,00;2;31;6;0
694;3,00;0;32;6;0
695;2,00;1;32;6;0
696;0,00;2;32;6;0
697;0,00;1;33;6;0
698;0,00;2;33;6;0
699;0,00;2;34;6;0
700;0,00;0;0;7;0
701;0,00;1;0;7;0
702;1,00;0;1;7;0
703;0,00;1;1;7;0
704;0,00;0;2;7;0
705;0,00;1;2;7;0
706;0,00;0;3;7;0
707;0,00;1;3;7;0
708;86,00;0;4;7;0
709;19,00;1;4;7;0
710;1,00;0;5;7;0
711;0,00;1;5;7;0
712;1,00;0;6;7;0
713;0,00;1;6;7;0
714;1,00;0;7;7;0
715;0,00;1;7;7;0
716;0,00;0;8;7;0
717;0,00;1;8;7;0
718;1,00;0;9;7;0
719;0,00;1;9;7;0
720;0,00;0;10;7;0
721;0,00;1;10;7;0
722;1,00;0;11;7;0
723;0,00;1;11;7;0
724;0,00;0;12;7;0
725;0,00;1;12;7;0
726;0,00;0;13;7;0
727;0,00;1;13;7;0
728;0,00;0;14;7;0
729;0,00;0;15;7;0
730;0,00;1;15;7;0
731;0,00;0;16;7;0
732;0,00;1;16;7;0
733;0,00;0;17;7;0
734;0,00;1;17;7;0
735;0,00;0;18;7;0
736;0,00;1;18;7;0
737;0,00;0;19;7;0
738;0,00;1;19;7;0
739;1,00;0;20;7;0
740;0,00;1;20;7;0
741;0,00;0;21;7;0
742;0,00;1;21;7;0
743;0,00;0;22;7;0
744;0,00;1;22;7;0
745;0,00;0;23;7;0
746;0,00;1;23;7;0
747;0,00;0;24;7;0
748;0,00;1;24;7;0
749;0,00;0;25;7;0
750;0,00;1;25;7;0
751;0,00;0;26;7;0
752;0,00;1;26;7;0
753;1,00;0;27;7;0
754;0,00;1;27;7;0
755;0,00;0;28;7;0
756;0,00;1;28;7;0
757;0,00;0;29;7;0
758;0,00;1;29;7;0
759;0,00;0;30;7;0
760;0,00;1;30;7;0
761;0,00;0;31;7;0
762;0,00;1;31;7;0
763;0,00;0;32;7;0
764;0,00;1;32;7;0
765;0,00;1;33;7;0
766;2,00;0;0;8;0
767;2,00;1;0;8;0
768;1,00;2;0;8;0
769;1,00;0;1;8;0
770;1,00;1;1;8;0
771;2,00;2;1;8;0
772;0,00;0;2;8;0
773;8,00;1;2;8;0
774;7,00;2;2;8;0
775;0,00;0;3;8;0
776;2,00;1;3;8;0
777;3,00;2;3;8;0
778;4,00;0;4;8;0
779;6,00;1;4;8;0
780;8,00;2;4;8;0
781;1,00;0;5;8;0
782;1,00;1;5;8;0
783;0,00;2;5;8;0
784;0,00;0;6;8;0
785;0,00;1;6;8;0
786;0,00;2;6;8;0
787;0,00;0;7;8;0
788;2,00;1;7;8;0
789;3,00;2;7;8;0
790;0,00;0;8;8;0
791;0,00;1;8;8;0
